time,open,high,low,close,tick_volume,spread,real_volume
2026-08-07 06:55:00,4293.326,4298.817,4293.113,4297.272,1228,240,0
2026-08-07 07:00:00,4297.219,4297.802,4292.75,4294.675,1079,240,0
2026-08-07 07:05:00,4294.728,4294.953,4290.302,4291.301,919,240,0
2026-08-07 07:10:00,4291.333,4293.25,4290.206,4291.317,916,240,0
2026-08-07 07:15:00,4291.352,4292.536,4288.941,4291.501,890,240,0
2026-08-07 07:20:00,4291.442,4292.888,4287.645,4287.882,969,240,0
2026-08-07 07:25:00,4287.935,4288.387,4284.547,4285.546,1034,240,0
2026-08-07 07:30:00,4285.218,4287.842,4283.825,4287.252,804,240,0
2026-08-07 07:35:00,4287.375,4288.893,4285.267,4285.431,859,240,0
2026-08-07 07:40:00,4285.605,4288.195,4284.447,4285.172,946,240,0
2026-08-07 07:45:00,4285.207,4286.995,4282.753,4285.372,1030,240,0
2026-08-07 07:50:00,4285.319,4287.116,4284.097,4287.111,703,240,0
2026-08-07 07:55:00,4286.883,4291.185,4286.647,4289.992,631,240,0
2026-08-07 08:00:00,4290.047,4293.771,4288.871,4292.5,1073,240,0
2026-08-07 08:05:00,4292.553,4296.553,4292.498,4294.532,916,240,0
2026-08-07 08:10:00,4294.469,4300.623,4294.412,4299.691,1022,240,0
2026-08-07 08:15:00,4299.802,4300.661,4296.802,4298.05,982,240,0
2026-08-07 08:20:00,4298.115,4298.17,4293.604,4294.39,886,240,0
2026-08-07 08:25:00,4294.359,4295.787,4293.112,4294.884,764,240,0
2026-08-07 08:30:00,4294.852,4315.016,4293.833,4313.904,2021,248,0
2026-08-07 08:35:00,4313.973,4316.799,4301.051,4304.513,2127,260,0
2026-08-07 08:40:00,4304.365,4310.049,4304.365,4308.908,1149,252,0
2026-08-07 08:45:00,4308.971,4311.516,4306.607,4307.048,1143,260,0
2026-08-07 08:50:00,4307.177,4307.946,4303.207,4304.303,1036,256,0
2026-08-07 08:55:00,4304.387,4308.021,4303.201,4305.866,974,256,0
2026-08-07 09:00:00,4305.99,4307.387,4304.419,4305.254,917,256,0
2026-08-07 09:05:00,4305.519,4307.456,4304.423,4306.051,917,260,0
2026-08-07 09:10:00,4306.063,4307.215,4304.616,4306.18,949,260,0
2026-08-07 09:15:00,4306.046,4308.121,4304.675,4306.746,880,252,0
2026-08-07 09:20:00,4306.683,4311.163,4306.105,4310.434,828,240,0
2026-08-07 09:25:00,4310.405,4310.672,4305.297,4306.84,942,256,0
2026-08-07 09:30:00,4306.908,4308.032,4302.09,4304.496,1168,260,0
2026-08-07 09:35:00,4304.294,4309.067,4302.524,4308.622,1060,256,0
2026-08-07 09:40:00,4308.651,4318.423,4308.651,4317.23,1285,256,0
2026-08-07 09:45:00,4317.292,4320.714,4315.143,4316.757,1351,260,0
2026-08-07 09:50:00,4316.601,4320.082,4316.196,4317.822,1063,260,0
2026-08-07 09:55:00,4318.062,4319.552,4314.413,4315.892,1091,256,0
2026-08-07 10:00:00,4315.888,4319.453,4314.656,4317.573,929,260,0
2026-08-07 10:05:00,4317.394,4318.046,4312.117,4312.16,948,260,0
2026-08-07 10:10:00,4312.225,4313.924,4307.898,4308.116,900,252,0
2026-08-07 10:15:00,4308.057,4314.205,4308.057,4313.282,912,240,0
2026-08-07 10:20:00,4313.261,4313.415,4310.69,4312.433,697,240,0
2026-08-07 10:25:00,4312.719,4314.58,4312.127,4313.904,659,240,0
2026-08-07 10:30:00,4313.578,4316.881,4313.073,4315.69,642,244,0
2026-08-07 10:35:00,4315.686,4318.304,4314.147,4317.179,721,256,0
2026-08-07 10:40:00,4317.287,4318.338,4315.185,4316.902,643,252,0
2026-08-07 10:45:00,4316.761,4319.98,4316.338,4318.547,778,252,0
2026-08-07 10:50:00,4318.565,4320.689,4316.973,4317.038,885,256,0
2026-08-07 10:55:00,4317.092,4317.995,4316.19,4316.729,664,244,0
2026-08-07 11:00:00,4316.718,4324.4,4316.603,4323.344,1156,252,0
2026-08-07 11:05:00,4323.263,4326.208,4321.681,4324.598,986,260,0
2026-08-07 11:10:00,4324.65,4325.63,4319.723,4320.404,1024,260,0
2026-08-07 11:15:00,4320.346,4321.079,4316.981,4320.636,1283,260,0
2026-08-07 11:20:00,4320.235,4325.184,4320.085,4323.884,1242,260,0
2026-08-07 11:25:00,4324.232,4327.53,4323.904,4324.962,1003,260,0
2026-08-07 11:30:00,4325.02,4327.848,4324.45,4324.535,1028,260,0
2026-08-07 11:35:00,4324.468,4325.056,4320.706,4323.674,1104,260,0
2026-08-07 11:40:00,4323.582,4325.752,4321.94,4322.625,1002,256,0
2026-08-07 11:45:00,4322.731,4325.654,4321.948,4323.951,751,252,0
2026-08-07 11:50:00,4324.005,4326.662,4320.851,4325.534,889,260,0
2026-08-07 11:55:00,4325.831,4326.898,4320.739,4321.086,807,244,0
2026-08-07 12:00:00,4321.291,4325.395,4318.902,4319.668,1199,256,0
2026-08-07 12:05:00,4319.822,4320.468,4315.466,4318.945,1286,260,0
